   ,0                      ,1                      ,2                      ,3
 0 ,3.290367390381621e-10  ,3.2578477208703106e-10 ,8.586918820336523e-10  ,5.831216974058044e-10
 1 ,2.496174890484526e-10  ,2.6626245703989376e-09 ,6.685904277723326e-10  ,4.082387014175834e-09
 2 ,6.772883281069604e-08  ,1.303172975975921e-08  ,6.582696866744762e-08  ,5.032130773426714e-10
 3 ,3.953198870168091e-10  ,7.419051648134838e-10  ,1.7288396930170693e-11 ,9.069114250844262e-10
 4 ,3.087697785950836e-09  ,1.1403661406106566e-09 ,5.640179566342403e-09  ,1.9835493879943802e-10
 5 ,0.0                    ,0.0                    ,0.0                    ,0.0
 6 ,2.443787533931426e-06  ,9.05190065046458e-07   ,1.9078354886390213e-06 ,1.0224153673829654e-10
 7 ,0.0                    ,0.0                    ,0.0                    ,0.0
 8 ,3.7769344420164023e-10 ,9.237882427363425e-08  ,1.4466691543587208e-08 ,9.477380994538016e-08
 9 ,2.285501057847284e-06  ,3.4473548819332265e-06 ,2.3803347105565403e-06 ,1.417423742199522e-06
10 ,0.0002158291524491493  ,9.450194409734058e-05  ,0.0001832728416478387  ,2.7941182255718585e-08
11 ,0.0                    ,0.0                    ,0.0                    ,0.0
12 ,0.0                    ,0.0                    ,0.0                    ,0.0
13 ,9.072263150446091e-07  ,0.00016259667416574966 ,6.907029322498367e-05  ,9.766546407164074e-05
14 ,0.0001736414649817564  ,0.027262924628164327   ,0.009806451120096286   ,0.016562906680369773
15 ,0.0                    ,0.0                    ,0.0                    ,0.0
