   ,0                      ,1                      ,2                      ,3
 0 ,7.943978521693215e-10  ,8.78116198187273e-10   ,2.038511033166435e-09  ,2.0447889613911216e-09
 1 ,9.03660370029537e-10   ,8.30922898496613e-09   ,2.20086993841595e-09   ,1.536012531618811e-08
 2 ,2.2918242657704538e-07 ,5.2314830852899584e-08 ,1.8137792976391938e-07 ,1.4050234671113417e-09
 3 ,1.2981579187462844e-09 ,2.8476624820030707e-09 ,5.7698113557306587e-11 ,3.419977156096958e-09
 4 ,7.543130396285478e-09  ,1.7313872302458613e-09 ,1.450746026493463e-08  ,4.708993486558442e-10
 5 ,0.0                    ,0.0                    ,0.0                    ,0.0
 6 ,7.176689457378031e-06  ,2.1140800299449564e-06 ,3.859306771018173e-06  ,4.782155530538511e-10
 7 ,0.0                    ,0.0                    ,0.0                    ,0.0
 8 ,1.1553156102798865e-09 ,2.2484643168454744e-07 ,3.97636106358857e-08   ,2.1380529561271252e-07
 9 ,5.492915819696317e-06  ,9.050383696899123e-06  ,5.850986819051097e-06  ,3.7631776026385867e-06
10 ,0.0004165665763839959  ,0.00019283725484502053 ,0.00028846921901732675 ,9.649059715734703e-08
11 ,0.0                    ,0.0                    ,0.0                    ,0.0
12 ,0.0                    ,0.0                    ,0.0                    ,0.0
13 ,2.357762198737093e-06  ,0.00037659735415446454 ,0.00013358502401756976 ,0.0001375207242683923
14 ,0.0002702109114432918  ,0.03479335524232212    ,0.01742153176012186    ,0.01552687447970313
15 ,0.0                    ,0.0                    ,0.0                    ,0.0
